Data Source,DISTRICT,Variety,Yield
Bhanga RS,Rajbari,BRRI dhan104,7.514439153
Bhanga RS,Rajbari,BRRI dhan108,7.600801034
Bhanga RS,Rajbari,BRRI dhan107,7.405232558
Bhanga RS,Rajbari,BRRI dhan105,6.861085271
Bhanga RS,Rajbari,BRRI dhan104,6.866150794
Bhanga RS,Rajbari,BRRI dhan105,7.299431217
Bhanga RS,Rajbari,BRRI dhan108,7.690568475
Bhanga RS,Rajbari,BRRI dhan105,6.700968992
Bhanga RS,Rajbari,BRRI dhan108,8.553591731
Bhanga RS,Rajbari,BRRI dhan108,7.339832041
Bhanga RS,Rajbari,BRRI dhan107,7.74118863
Bhanga RS,Rajbari,BRRI dhan107,7.392325581
Bhanga RS,Rajbari,BRRI dhan108,7.661498708
Bhanga RS,Rajbari,BRRI dhan107,7.613307494
Bhanga RS,Rajbari,BRRI dhan104,7.281415344
Bhanga RS,Rajbari,BRRI dhan104,7.241071429
Bhanga RS,Rajbari,BRRI dhan102,8.29702381
Bhanga RS,Rajbari,BRRI dhan102,7.991587302
Bhanga RS,Rajbari,BRRI dhan102,7.858650794
Bhanga RS,Rajbari,BRRI dhan107,7.371834625
Bhanga RS,Rajbari,BRRI dhan107,7.063953488
Bhanga RS,Rajbari,BRRI dhan108,7.910335917
Bhanga RS,Rajbari,BRRI dhan105,6.711860465
Bhanga RS,Rajbari,BRRI dhan105,6.572067183
Bhanga RS,Rajbari,BRRI dhan105,6.795348837
Bhanga RS,Rajbari,BRRI dhan105,6.658552972
Bhanga RS,Rajbari,BRRI dhan105,6.648953488
Bhanga RS,Faridpur,BRRI dhan89,8.155334625
Bhanga RS,Faridpur,BRRI dhan89,7.78618863
Bhanga RS,Faridpur,BRRI dhan89,8.506614987
Bhanga RS,Faridpur,BRRI dhan89,8.156293282
Bhanga RS,Faridpur,BRRI dhan89,8.464258398
Bhanga RS,Faridpur,BRRI dhan92,7.774666667
Bhanga RS,Faridpur,BRRI dhan92,8.356143411
Bhanga RS,Faridpur,BRRI dhan92,8.741625323
Bhanga RS,Faridpur,BRRI dhan92,7.51020155
Bhanga RS,Faridpur,BRRI dhan92,8.555465116
Bhanga RS,Faridpur,BRRI dhan92,7.838749354
Bhanga RS,Faridpur,BRRI dhan92,8.473162791
Bhanga RS,Faridpur,BRRI dhan92,7.836888889
Bhanga RS,Faridpur,BRRI dhan92,8.515378553
Bhanga RS,Faridpur,BRRI dhan92,7.861912145
Bhanga RS,Faridpur,BRRI dhan102,7.865749354
Bhanga RS,Faridpur,BRRI dhan102,7.859112403
Bhanga RS,Faridpur,BRRI dhan102,8.747395349
Bhanga RS,Faridpur,BRRI dhan102,7.674010336
Bhanga RS,Faridpur,BRRI dhan102,8.484819121
Bhanga RS,Faridpur,BRRI dhan102,8.292175711
Bhanga RS,Faridpur,BRRI dhan102,8.311360465
Bhanga RS,Faridpur,BRRI dhan102,8.508465116
Bhanga RS,Faridpur,BRRI dhan102,8.794568475
Bhanga RS,Faridpur,BRRI dhan102,8.781374677
Bhanga RS,Faridpur,BRRI dhan107,7.949735142
Bhanga RS,Faridpur,BRRI dhan107,7.910852713
Bhanga RS,Faridpur,BRRI dhan107,8.076806202
Bhanga RS,Faridpur,BRRI dhan107,8.574347545
Bhanga RS,Faridpur,BRRI dhan107,8.684217054
Bhanga RS,Faridpur,BRRI dhan108,8.773864341
Bhanga RS,Faridpur,BRRI dhan108,8.908443152
Bhanga RS,Faridpur,BRRI dhan108,8.764485788
Bhanga RS,Faridpur,BRRI dhan108,8.301891473
Bhanga RS,Faridpur,BRRI dhan108,8.681043928
Bhanga RS,Faridpur,BRRI dhan89,8.165401163
Bhanga RS,Faridpur,BRRI dhan89,8.210852713
Bhanga RS,Faridpur,BRRI dhan89,8.41778553
Bhanga RS,Faridpur,BRRI dhan89,7.849715762
Bhanga RS,Faridpur,BRRI dhan89,8.399621447
Bhanga RS,Faridpur,BRRI dhan92,7.721777778
Bhanga RS,Faridpur,BRRI dhan92,8.474883721
Bhanga RS,Faridpur,BRRI dhan92,8.21051938
Bhanga RS,Faridpur,BRRI dhan92,8.12248062
Bhanga RS,Faridpur,BRRI dhan92,8.374742894
Bhanga RS,Faridpur,BRRI dhan92,8.523630491
Bhanga RS,Faridpur,BRRI dhan92,7.763636951
Bhanga RS,Faridpur,BRRI dhan92,7.681170543
Bhanga RS,Faridpur,BRRI dhan92,7.923662791
Bhanga RS,Faridpur,BRRI dhan92,8.764485788
Bhanga RS,Faridpur,BRRI dhan102,8.000459948
Bhanga RS,Faridpur,BRRI dhan102,7.677105943
Bhanga RS,Faridpur,BRRI dhan102,8.496562016
Bhanga RS,Faridpur,BRRI dhan102,7.983571059
Bhanga RS,Faridpur,BRRI dhan102,8.041052972
Bhanga RS,Faridpur,BRRI dhan102,7.780767442
Bhanga RS,Faridpur,BRRI dhan102,7.522693798
Bhanga RS,Faridpur,BRRI dhan102,7.569527132
Bhanga RS,Faridpur,BRRI dhan102,8.253054264
Bhanga RS,Faridpur,BRRI dhan102,8.506341085
Bhanga RS,Faridpur,BRRI dhan107,7.454112403
Bhanga RS,Faridpur,BRRI dhan107,7.686162791
Bhanga RS,Faridpur,BRRI dhan107,7.236651163
Bhanga RS,Faridpur,BRRI dhan107,7.600839793
Bhanga RS,Faridpur,BRRI dhan107,7.086056848
ARD,Gazipur,BRRI dhan108,8.3
ARD,Gazipur,BRRI dhan102,8
ARD,Gazipur,BRRI dhan102,7.95
ARD,Gazipur,BRRI dhan108,8.4
ARD,Gazipur,BRRI dhan102,8.1
ARD,Gazipur,BRRI dhan108,8.45
